05	@} f Ae v
ACKNOWLEDGES	@ k n O l @ dZ @ z
ACKNOWLEDGING	@ k n O l @ dZ I N
ACKNOWLEDGMENT	@ k n O l I dZ m @ n t
ACKNOWLEDGMENTS	@ k n O l I dZ m @ n t s
ACKROYD	{ k r oI d
ACKROYD'S	{ k r oI d z
ACL	{I s i: e l
ACMAT	{ k m { t
ACMAT'S	{ k m { t s
ACME	{ k m i:
ACME'S	{ k m i: z
ACM	{I s i: e m
ACNE	{ k n i:
ACOCELLA	O k @} tS e l @
ACOFF	{ k O f
ACOG	@ k O g
ACOLYTE	{ k @ l 6: I t
ACOLYTES	{ k @ l Ae t s
ACOMB	{I k 6 m
ACOMB	j { k 6 m
ACORDIA	@ k o: d i: @
ACORD	@ k o: d
ACORN	{I k o: n
ACORN'S	{I k o: n z
ACORNS	{I k o: n z
ACOSTA	@ k O s t @
ACOTT	{I k o: t
ACOUSTICAL	@ k }: s t I k @ l
ACOUSTICALLY	@ k }: s t I k l i:
ACOUSTIC	@ k }: s t I k
ACOUSTICS	@ k }: s t I k s
ACPE	{I s i: p i: i:
ACQUAINTANCE	@ k w {I n t @ n s
ACQUAINTANCESHIP	@ k w {I n t @ n s S I p
ACQUAINTANCES	@ k w {I n t @ n s @ z
ACQUAINTED	@ k w {I n d
ACQUAINTED	@ k w {I n t @ d
ACQUAINT	@ k w {I n t
ACQUAVIVA	o: k w O v i: v @
ACQUIESCED	{ k w i: e s t
ACQUIESCE	{ k w i: e s
ACQUIESCENCE	{ k w i: e s @ n s
ACQUIESCENT	{ k w i: e s @ n t
ACQUIESCING	{ k w i: e s I N
ACQUIRED	@ k w Ae @ d
ACQUIRE	@ k w 6: I@
ACQUIRER	@ k w 6: I@ @
ACQUIRER'S	@ k w 6: I@ @ z
ACQUIRERS	@ k w 6: I@ @ z
ACQUIRES	@ k w Ae @ z
ACQUIRING	@ k w 6: I@ r I N
ACQUIRING	@ k w Ae @ r I N
ACQUISITION	{ k w @ z I S @ n
ACQUISITION'S	{ k w @ z I S n z
ACQUISITIONS	{ k w @ z I S n z
ACQUISITIVE	@ k w I z @ t I v
ACQUITAINE	{ k w @ t {I n
ACQUIT	@ k w I t
ACQUITS	@ k w I t s
ACQUITTAL	@ k w I t l
ACQUITTALS	@ k w I t l z
ACQUITTED	@ k w I t @ d
ACQUITTING	@ k w I t I N
ACREAGE	{I k 6 r I dZ
ACREAGE	{I k r I dZ
ACREE	@ k r i:
ACRE	{I k @
ACRES	{I k @ z
ACREY	{ k r i:
ACRID	{ k r @ d
ACRIMONIOUS	{ k r @ m @} n i: @ s
ACRIMONY	{ k r @ m @} n i:
ACRI	O k r i:
ACROBATIC	{ k r @ b { t I k
ACROBATICS	{ k r @ b { t I k s
ACROBAT	{ k r @ b { t
ACROBATS	{ k r @ b { t s
ACRO	{ k r @}
ACROLEIN	{ k r @} l i: n
ACRONYM	{ k r @ n I m
ACRONYMS	{ k r @ n I m z
ACROPOLIS	@ k r O p @ l @ s
ACROSS	@ k r O s
ACROSS-THE-BOARD	@ k r O s D @ b o: d
ACRYLIC	@ k r I l I k
ACRYLICS	@ k r I l I k s
ACTA	{ k t @
ACTAVA	{ k t 6: v @
ACTAVA'S	{ k t O v @ z
ACTAVAS	{ k t O v @ z
ACTED	{ k t @ d
ACTEL	{ k t e l
ACTIGALL	{ k t I g { l
ACTING	{ k t I N
ACTINIDE	{ k t @ n 6: I d
ACTINIDIA	{ k t I n I d i: @
ACTIN	{ k t @ n
ACTINOMYCOSIS	{ k t @ n @} m 6: I k @} s @ s
ACTIONABLE	{ k S n @ b @ l
ACTION	{ k S @ n
ACTION	{ k S n
ACTION-	{ k S n
ACTION'S	{ k S n z
ACTIONS	{ k S n z
ACTIONS-	{ k S n z
ACT	{I s i: t i:
ACTIVASE	{ k t @ v {I z
ACTIVATED	{ k t @ v {I t @ d
ACTIVATE	{ k t @ v {I t
ACTIVATES	{ k t @ v {I t s
ACTIVATING	{ k t @ v {I t I N
ACTIVATION	{ k t @ v {I S n
ACTIVATOR	{ k t @ v {I t @
ACTIVE	{ k t I v
ACTIVE	{ k t @ v
ACTIVELY	{ k t I v l i:
ACTIVE'S	{ k t @ v z
ACTIVES	{ k t @ v z
ACTIVISION	{ k t @ v I Z n
ACTIVISION-	{ k t @ v I Z n
ACTIVISM	{ k t I v @ z m
ACTIVIST	{ k t I v @ s t
ACTIVIST	{ k t @ v @ s t
ACTIVISTS	{ k t I v @ s t s
ACTIVISTS'	{ k t I v @ s t s
ACTIVISTS	{ k t @ v @ s t s
ACTIVITIES	{ k t I v @ t i: z
ACTIVITY	{ k t I v @ t i:
ACT	{ k t
ACT-	{ k t
ACTMEDIA	{ k t m i: d i: @
ACTODINE	{ k t @} d 6: I n
ACTON	{ k t @ n
ACTOR	{ k t @
ACTOR'S	{ k t @ z
ACTORS	{ k t @ z
ACTORS'	{ k t @ z
ACTRESSES	{ k t r @ s @ z
ACTRESS	{ k t r @ s
ACTRESS'S	{ k t r @ s @ z
ACTS	{ k s
ACT'S	{ k t s
ACTS	{ k t s
ACTS-	{ k t s
ACTUA-	{ k tS }: @
ACTUALITY	{ k tS }: { l @ t i:
ACTUALIZE	{ k tS }: @ l 6: I z
ACTUAL	{ k tS }: @ l
ACTUAL-	{ k tS }: @ l
ACTUALL	{ k tS }: @ l
ACTUALLY	{ k tS @ l i:
ACTUALLY	{ k tS }: @ l i:
ACTUALLY-	{ k tS }: @ l i:
ACTUARIAL	{ k tS @ r i: @ l
ACTUARIES	{ k tS @ r i: z
ACTUARY	{ k tS @ r i:
ACTUATE	{ k tS }: {I t
ACTUATOR	{ k t j }: {I t @
ACTUATOR	{ k tS }: {I t @
ACTUATORS	{ k t j }: {I t @ z
ACTUATORS	{ k tS }: {I t @ z
ACTU	{I s i: t i: j }:
ACTUS	{ k t @ s
ACUFF	@ k 6 f
ACU	{I s i: j }:
ACUITY	@ k j }: @ t i:
ACUMEN	@ k j }: m @ n
ACUNA	O k }: n @
ACUPUNCTURE	{ k j @ p 6 N k tS @
ACUPUNCTURE	{ k j }: p 6 N k tS @
ACURA	{ k j @ r @
ACURA'S	{ k j @ r @ z
ACURAS	{ k j @ r @ z
ACUSON	{ k j }: s n
ACUSTAR	{ k j }: s t 6:
ACUSYST	{ k j }: s @ s t
ACUTE	@ k j }: t
ACUTELY	@ k j }: t l i:
ACUTENESS	@ k j }: t n @ s
ACYCLOVIR	@ s I k l @} v I@
ADABEL	{ d @ b e l
ADABELLE	{ d @ b @ l
ADACHI	o: d O k i:
ADAGE	{ d I dZ
ADAGIO	@ d O Z i: @}
ADAH	{ d @
ADA	{I d @
ADAIR	@ d e
ADAIRE	o: d e:
ADAK	@ d { k
ADALAH	o: d { l @
ADALIA	o: d { l Ae @
ADAMANT	{ d @ m @ n t
ADAMANTLY	{ d @ m @ n t l i:
ADAMCIK	o: d @ m tS I k
ADAMCZAK	o: d @ m tS { k
ADAMCZYK	o: d @ m tS I k
ADAM	{ d @ m
ADAMEC	@ d O m I k
ADAMEK	@ d { m @ k
ADAME	o: d O m i:
ADAMES	@ d {I m z
ADAMIK	@ d O m I k
ADAMINA	o: d O m e n @
ADAMI	o: d O m i:
ADAMKUS	{ d @ m k @ s
ADAMO	o: d O m @}
ADAMOWICZ	@ d O m @ v I tS
ADAMSAPPLE	{ d @ m z { p @ l
ADAM'S	{ d @ m z
ADAMS	{ d @ m z
ADAMS'	{ d @ m z
ADAMSKI	@ d { m s k i:
ADAMSON	{ d @ m s n
ADAMS'S	{ d @ m z @ z
ADAMSTOWN	{ d @ m s t 6: U n
ADAN	{I d @ n
ADAPSO	@ d { p s @}
ADAPTABILITY	@ d { p t @ b I l @ t i:
ADAPTABLE	@ d { p t @ b @ l
ADAPTAPLEX	@ d { p t @ p l e k s
ADAPTATION	{ d { p t {I S n
ADAPTATIONS	{ d { p t {I S n z
ADAPT	@ d { p t
ADAPTEC	@ d { p t e k
ADAPTEC'S	@ d { p t e k s
ADAPTED	@ d { p t @ d
ADAPTER	@ d { p t @
ADAPTERS	@ d { p t @ z
ADAPTING	@ d { p t I N
ADAPTING-	@ d { p t I N
ADAPTIVE	@ d { p t I v
ADAPTOR	@ d { p t @
ADAPTORS	@ d { p t @ z
ADAPTS	@ d { p t s
ADARAND	{ d @ r 6: n d
ADAR	@ d 6:
ADARE	@ d e
ADA'S	{I d @ z
ADAS	{I d @ z
ADAY	@ d {I
ADAZA	@ d O z @
ADBLOCK	{ d b l O k
ADCOCK	@ d k O k
ADCOX	@ d k O k s
AD	{ d
ADDAIR	@ d e
ADDAMS	{ d @ m z
ADD	{ d
ADDED	{ d @ d
ADDENDA	@ d e n d @
ADDENDUM	@ d e n d @ m
ADDENDUMS	@ d e n d @ m z
ADDEO	o: d i: @}
ADDER	{ d @
ADDERLEY	@ d @ l i:
ADDICKS	{ d I k s
ADDICT	@ d I k t
ADDICT	{ d I k t
ADDICTED	@ d I k t @ d
ADDICTING	@ d I k t I N
ADDICTION	@ d I k S n
ADDICTIONS	@ d I k S n z
ADDICTIVE	@ d I k t @ v
ADDICTS	@ d I k t s
ADDICTS	{ d I k t s
ADDIDAS	{ d @ d @ z
ADDIDAS'	{ d @ d @ z
ADDIDASES	{ d @ d @ z @ z
ADDIDAS'S	{ d @ d @ z @ z
ADDIE	{ d i:
ADDING	{ d I N
ADDINGTON	{ d I N t @ n
ADDIS-ABABA	o: d i: s @ b { b @
ADDIS-ABABA	o: d I s @ b { b @
ADDIS	O d @ s
ADDISON	{ d @ s @ n
ADDISON'S	{ d @ s n z
ADDITIONAL	@ d I S n @ l
ADDITIONALLY	@ d I S n @ l i:
ADDITION	@ d I S @ n
ADDITION	@ d I S n
ADDITIONS	@ d I S n z
ADDITIVE	{ d @ t I v
ADDITIVES	{ d @ t @ v z
ADDLED	{ d @ l d
ADDLE	{ d @ l
ADDLEMAN	{ d @ l m @ n
ADDR-	{ d @
ADDRESSABLE	@ d r e s @ b @ l
ADDRESS	@ d r e s
ADDRESSED	@ d r e s t
ADDRESSEE	@ d r e s i:
ADDRESSES	@ d r e s @ z
ADDRESSING	@ d r e s I N
ADDS	{ d z
ADDUCI	o: d }: tS i:
ADDUCT	{ d 6 k t
ADDWEST	{ d w e s t
ADDY	{ d i:
ADDYSTON	{ d i: s t @ n
ADEE	@ d i:
ADE	{I d
ADELAAR	{ d @ l 6:
ADELA	@ d e l @
ADELAIDE	{ d @ l {I d
ADELANTO	{ d @ l @ n t @}
ADELBERT	@ d e l b 3: t
ADEL	@ d e l
ADEL-	{ d l
ADELE	@ d e l
ADELE'S	@ d e l z
ADELINE	{ d @ l 6: I n
ADELIZZI	{ d @ l i: z i:
ADELL	@ d e l
ADELLE	@ d e l
ADELL'S	@ d e l z
ADELMAN	{ d @ l m @ n
ADELMAN	e d @ l m @ n
ADELMANN	{ d @ l m @ n
ADELPHA	@ d e l f @
ADELPHIA	@ d e l f i: @
ADELPHIA'S	@ d e l f i: @ z
ADELPHI	@ d e l f i:
ADELSBERGER	{ d I l z b 3: g @
ADELSON	{ d e l s n
ADELSTEIN	{ d e l s t Ae n
ADELSTEIN	{ d e l s t i: n
ADENA	{ d n @
ADENAUER	{ d n U@
ADENAUER	{I d n U@
ADEN	{I d @ n
ADENINE	{ d @ n i: n
ADENOID	{ d @ n oI d
ADENOIDS	{ d @ n oI d z
ADENOSCAN	@ d e n @ s k { n
ADENOSINE	@ d e n t @ s i: n
ADENOVIRUS	@ d e n @ v 6: I r @ s
ADEPT	@ d e p t
ADEQUACY	{ d @ k w @ s i:
ADEQUATE	{ d @ k w @ t
ADEQUATELY	{ d @ k w I t l i:
ADEQUATELY	{ d @ k w @ t l i:
ADERHOLD	{ d @ h @} l d
ADERHOLT	{ d @ h @} l t
ADER	{I d @
ADERMAN	{ d 3: m @ n
ADES	{I d z
ADEY	{I d i:
ADGER	{ dZ @
ADHAM	@ d h { m
ADHD	{I d i: {I tS d i:
ADHERED	@ d h I@ d
ADHERE	@ d h i: @
ADHERENCE	@ d h I@ r @ n s
ADHERENT	@ d h i: @ t i: z
ADHERENTS	@ d h I@ r @ n t s
ADHERES	@ d h I@ z
ADHERING	@ d h I@ r I N
ADHESION	@ d h i: Z @ n
ADHESIVE	@ d h i: s I v
ADHESIVE	@ d h i: z I v
ADHESIVES	@ d h i: z I v z
AD-HOC	@ d h O k
ADIA	o: d i: @
ADIDAS	{ d @ d @ z
ADIDAS'S	{ d @ d @ z @ z
ADID	@ d @ d
A.D.	{I d i:
AD	{I d i:
ADIEU	@ d j }:
ADINA	o: d i: n @
ADIN	@ d I n
ADINE	o: d i: n i:
ADINOLFI	o: d i: n @} l f i:
ADIOS	o: d i: @} s
ADIPOSE	{ d { p O s
ADIRONDACK	{ d @ r O n d { k
ADISQ	@ d I s k
ADISQ	{I d @ s k
ADJACENT	@ dZ {I s @ n t
ADJANI	{ d dZ O n i:
ADJECTIVE	{ dZ e k t I v
ADJECTIVE	{ dZ @ k t I v
ADJECTIVES	{ dZ e k t I v z
ADJOIN	@ dZ o: I n
ADJOINING	@ dZ o: I n I N
ADJOINS	@ dZ oI n z
ADJOURN	@ dZ 3: n
ADJOURNED	@ dZ 3: n d
ADJOURNING	@ dZ 3: n I N
ADJOURNMENT	@ dZ 3: n m @ n t
ADJOURNS	@ dZ 3: n z
ADJUDGED	@ dZ 6 dZ d
ADJUDGE	@ dZ 6 dZ
ADJUDICATED	@ dZ }: d @ k {I t @ d
ADJUDICATE	@ dZ }: d @ k {I t
ADJUDICATING	@ dZ }: d @ k {I t I N
ADJUDICATION	@ dZ }: d @ k {I S n
ADJUNCT	{ dZ 6 N k t
ADJUNCTS	{ dZ 6 N k t s
ADJUSTABLE	@ dZ 6 s t @ b @ l
ADJUSTABLES	@ dZ 6 s t @ b l z
ADJUST	@ dZ 6 s t
ADJUSTED	@ dZ 6 s t @ d
ADJUSTER	@ dZ 6 s t @
ADJUSTERS	@ dZ 6 s t @ z
ADJUSTING	@ dZ 6 s t I N
ADJUSTMENT	@ dZ 6 s t m @ n t
ADJUSTMENTS	@ dZ 6 s t m @ n t s
ADJUSTS	@ dZ 6 s t s
ADJUTANT	{ dZ @ t @ n t
ADKINS	{ d k @ n z
ADKINSON	{ d k @ n s n
ADKISON	{ d k @ s @ n
ADKISSON	{ d k @ s @ n
ADLAI	o: d l O i:
ADLER	{ d l @
ADLER'S	{ d l @ z
ADLERS	{ d l @ z
ADLEY	{ d l i:
AD-LIB	{ d l I b
ADLON	{ d l O n
ADLONG	{ d l O N
ADL-TABATABAI	o: d 6 l t O b @ t @ b Ae
ADL-TABATABA	o: d 6 l t O b @ t 6: b @
ADMAN	@ d m @ n
ADMEN	@ d m @ n
ADMIN	@ d m I n
ADMIN	{ d m I n
ADMIN	{ d m @ n
ADMINISTER	@ d m I n @ s t @
ADMINISTERED	@ d m I n @ s t @ d
ADMINISTERING	@ d m I n @ s t @ r I N
ADMINISTERS	@ d m I n @ s t @ z
ADMINISTRATE	@ d m I n @ s t r {I t
ADMINISTRATING	@ d m I n @ s t r {I t I N
ADMINISTRATION	@ d m I n @ s t r {I S @ n
ADMINISTRATION	@ d m I n @ s t r {I S n
ADMINISTRATION'S	@ d m I n @ s t r {I S n z
ADMINISTRATIONS	@ d m I n @ s t r {I S n z
ADMINISTRATIONS'	@ d m I n @ s t r {I S n z
ADMINISTRATIVE	@ d m I n @ s t r {I t I v
ADMINISTRATIVELY	@ d m I n @ s t r {I t I v l i:
ADMINISTRATOR	@ d m I n @ s t r {I t @
ADMINISTRATOR'S	@ d m I n @ s t r {I t @ z
ADMINISTRATORS	@ d m I n @ s t r {I t @ z
ADMINISTRATORS'	@ d m I n @ s t r {I t @ z
ADMINS	@ d m I n z
ADMIRABLE	@ d m r @ b @ l
ADMIRABLY	@ d m @ r @ b l i:
ADMIRA	@ d m 6: I@ @
ADMIRAL	@ d m r @ l
ADMIRAL'S	@ d m r @ l z
ADMIRALS	@ d m r @ l z
ADMIRALTY	@ d m r @ l t i:
ADMIRA'S	@ d m Ae @ @ z
ADMIRATION	@ d m @ r {I S @ n
ADMIRATIONS	@ d m @ r {I S n z
ADMIRED	@ d m Ae @ d
ADMIRE	@ d m 6: I@
ADMIRE	@ d m Ae @
ADMIRER	@ d m 6: I@ @
ADMIRERS	@ d m 6: I@ @ z
ADMIRES	@ d m Ae @ z
ADMIRING	@ d m Ae @ r I N
ADMIRINGLY	@ d m Ae @ n l i:
ADMISSIBILITY	@ d m I s @ b I l @ t i:
ADMISSIBLE	@ d m I s @ b @ l
ADMISSION	@ d m I S @ n
ADMISSIONS	@ d m I S n z
ADMIT	@ d m I t
ADMITS	@ d m I t s
ADMITTANCE	@ d m I t @ n s
ADMITTED	@ d m I t @ d
ADMITTED-	@ d m I t @ d
ADMITTEDLY	@ d m I t @ d l i:
ADMITTING	@ d m I t I N
ADMONISH	@ d m O n I S
ADMONISHED	@ d m O n I S t
ADMONISHES	@ d m O n I S @ z
ADMONISHING	@ d m O n I S I N
ADMONISHMENT	@ d m O n I S m @ n t
ADMONITION	@ d m @ n I S @ n
ADMONITIONS	@ d m @ n I S n z
ADMONITORY	@ d m O n @ t r i:
ADNAN	{ d n @ n
AD-NAUSEAM	{ d n o: z i: O m
AD-NAUSEUM	{ d n o: z i: @ m
ADNEY	{ d n i:
ADOBE	@ d @ b i:
ADOBE'S	@ d @ b i: z
ADO	@ d j }:
ADOLESCENCE	{ d @ l e s @ n s
ADOLESCENT	{ d @ l e s @ n t
ADOLESCENTS	{ d @ l e s @ n t s
ADOLF	{I d O l f
ADOLFO	@ d O l f @}
ADOLF'S	{I d O l f s
ADOLPHA	o: d @} l f @
ADOLPH	{I d O l f
ADOLPHSON	{ d @ l f s n
ADOLPHUS	@ d O l f @ s
ADONIA	o: d @} n j @
ADONIS	@ d O n @ s
ADON	o: d o: n
ADOOMIE	@ d @ @} m i:
ADOPTABLE	@ d O p t @ b @ l
ADOPT	@ d O p t
ADOPTED	@ d O p t @ d
ADOPTEE	@ d O p t i:
ADOPTEES	@ d O p t i: z
ADOPTER	@ d O p t @
ADOPTERS	@ d O p t @ z
ADOPTING	@ d O p t I N
ADOPTION	@ d O p S n
ADOPTIONS	@ d O p S n z
ADOPTIVE	@ d O p t I v
ADOPTS	@ d O p t s
ADORABELLE	{ d r @ b @ l
ADORABLE	@ d o: @ b @ l
ADORABLE-	@ d o: r @ b l
ADORA	o: d o: r @
ADORATION	{ d @ r {I S @ n
ADORED	@ d o: d
ADORE	@ d o:
ADOREE	{ d r i:
ADOREES	{ d @ r i: z
ADORES	@ d o: z
ADORING	@ d o: I N
ADORNA	o: d o: n @
ADORN	@ d o: n
ADORNED	@ d o: n d
ADORNING	@ d o: n I N
ADORNMENT	@ d o: n m @ n t
ADORNO	o: d o: n @}
ADORNS	@ d o: n z
ADOR	o: d o:
ADRAGNA	o: d r O g n @
ADRA	{I d r @
ADRDA	{I d @ d @
ADREA	o: d r i: @
ADRENAL	@ d r i: n @ l
ADRENALIN	@ d r e n @ l @ n
ADRENALINE	@ d r e n @ l @ n
ADRENERGIC	@ d r e n e: dZ I k
ADRIANA	{I d r i: { n @}
ADRIANCE	o: d r i: @ n s
ADRIAN	{I d r i: @ n
ADRIANO	o: d r i: 6: n @}
ADRIA	o: d r i: @
ADRIATIC	{I d r i: { t I k
ADRIEL	@ d r i: l
ADRIENNE	o: d r i: e n
ADRIFT	@ d r I f t
ADROIT	@ d r oI t
ADROITLY	@ d r oI t l i:
AD'S	{ d z
ADS	{ d z
ADS'	{ d z
ADSIT	{ d s @ t
ADSL	{I d i: e s e l
ADSORPTION	@ d s o: p S n
ADSS	{ d s
ADSS	{I d i: e s e s
ADSTAR	{ d s t 6:
ADSTEAM	{ d s t i: m
ADTEC	{ d t e k
ADULATE	{ dZ @ l {I t
ADULATION	{ dZ @ l {I S @ n
ADULIADAE	@ d j }: l i: O d {I
ADULT	{ d 6 l t
ADULTERATE	{ d 6 l t @ r {I t
ADULTERATED	{ d 6 l t @ r {I t @ d
ADULTERATES	{ d 6 l t @ r {I t s
ADULTERATION	{ d 6 l t @ r {I S @ n
ADULTERER	{ d 6 l t @ r @
ADULTERERS	{ d 6 l t @ r @ z
ADULTEROUS	{ d 6 l t @ r @ s
ADULTERY	@ d 6 l t @ r i:
ADULTERY-	@ d 6 l t @ r i:
ADULTHOOD	{ d 6 l t h U d
ADULTS	{ d 6 l t s
ADULTS'	{ d 6 l t s
ADUSDUR	{ d @ s d @
ADVACARE	{ d v @ k e:
ADVALUE	{ d v @ l }:
ADVANCED	@ d v { n s t
ADVANCE	@ d v { n s
ADVANCEMENT	@ d v { n s m @ n t
ADVANCEMENTS	@ d v { n s m @ n t s
ADVANCER	@ d v { n s @
ADVANCERS	@ d v { n s @ z
ADVANCE'S	@ d v { n s @ z
ADVANCES	@ d v { n s @ z
ADVANCING	@ d v { n s I N
ADVAN-	@ d v { n
ADVANI	@ d v 6: n i:
ADVANTA	@ d v { n t @
ADVANTAGED	@ d v { n t I dZ d
ADVANTAGE	@ d v { n t @ dZ
ADVANTAGE	@ d v { n t I dZ
ADVANTAGEOUS	{ d v @ n t {I dZ @ s
ADVANTAGES	@ d v { n t @ dZ @ z
ADVANTA'S	@ d v { n t @ z
ADVANTEST	@ d v { n t @ s t
ADVECTION	@ d v e k S n
ADVENT	@ d v e n t
ADVENTIST	@ d v e n t @ s t
ADVENTISTS	@ d v e n t @ s t s
ADVENTURE	@ d v e n tS @
ADVENTURER	@ d v e n tS @ r @
ADVENTURERS	@ d v e n tS @ r @ z
ADVENTURES	@ d v e n tS @ z
ADVENTURESOME	@ d v e n tS @ s @ m
ADVENTURISM	@ d v e n tS @ r I z @ m
ADVENTURIST	@ d v e n tS @ r @ s t
ADVENTUROUS	@ d v e n tS @ r @ s
ADVERB	@ d v 3: b
ADVERBIAL	@ d v 3: b i: @ l
ADVERBS	@ d v 3: b z
ADVERSARIAL	@ d v 3: s e r i: @ l
ADVERSARIES	@ d v 3: s e r i: z
ADVERSARY	@ d v 3: s @ r i:
ADVERSE	@ d v 3: s
ADVERSE	{ d v 3: s
ADVERSELY	@ d v 3: s l i:
ADVERSITY	@ d v 3: s @ t i:
ADVERT	@ d v 3: t
ADVERTISED	{ d v @ t Ae z d
ADVERTISE	{ d v @ t 6: I z
ADVERTISEMENT	@ d v 3: t @ s m @ n t
ADVERTISEMENTS	@ d v 3: t @ s m @ n t s
ADVERTISER	{ d v @ t Ae z @
ADVERTISER'S	{ d v @ t Ae z @ z
ADVERTISERS	{ d v @ t Ae z @ z
ADVERTISERS'	{ d v @ t Ae z @ z
ADVERTISES	{ d v @ t Ae z @ z
ADVERTISING	{ d v @ t Ae z I N
ADVERTISING'S	{ d v @ t Ae z I N z
ADVERTISMENT	{ d v @ t @ z m @ n t
ADVERTORIAL	{ d v @ t o: r i: @ l
ADVERTORIALS	{ d v @ t o: r i: @ l z
ADVEST	@ d v e s t
ADVICE	@ d v 6: I s
ADVICE	@ d v Ae s
ADVIL	@ d v @ l
ADVIL'S	@ d v I l z
ADVISABILITY	@ d v 6: I z @ b I l @ t i:
ADVISABLE	@ d v 6: I z @ b @ l
ADVISED	@ d v Ae z d
ADVISEDLY	@ d v 6: I z @ d l i:
ADVISE	@ d v 6: I z
ADVISE	@ d v Ae z
ADVISEMENT	@ d v 6: I z m @ n t
ADVISER	@ d v Ae z @
ADVISER'S	@ d v Ae z @ z
ADVISERS	@ d v Ae z @ z
ADVISERS'	@ d v Ae z @ z
ADVISES	@ d v Ae z @ z
ADVISING	@ d v Ae z I N
ADVISOR	@ d v Ae z @
ADVISORIES	@ d v 6: I z @ r i: z
ADVISORS	@ d v Ae z @ z
ADVISORY	@ d v Ae z @ r i:
ADVOCACY	{ d v @ k @ s i:
ADVOCATED	{ d v @ k {I t @ d
ADVOCATE	{ d v @ k {I t
ADVOCATE'S	{ d v @ k {I t s
ADVOCATES	{ d v @ k {I t s
ADVOCATING	{ d v @ k {I t I N
ADVOCATION	{ d v @ k {I S @ n
ADVO	@ d v @}
ADWEEK	{ d w i: k
ADWELL	@ d w e l
ADWORDS	{ d w @ d z
ADY	{I d i:
ADZ	{ d z
AEGEAN	@ dZ i: @ n
AEGERTER	e g @ t @
AEGIS	i: dZ @ s
AEGON	{I g @ n
AE	{I
AELTUS	{ l t @ s
AENEAS	{ n i: @ s
AENEID	6 n i: @ d
AEOLUS	e O l U s
AEQUITRON	{I k w I t @ r O n
AER	e:
AERIAL	e r i: @ l
AERIAL	e: r i: @ l
AERIALS	e r i: @ l z
AERIEN	e r i: @ n
AERIENS	e r i: @ n z
AERIE	@ r i:
AER	{I i: r
AERITALIA	{ r @ t { l j @
AEROBATIC	e r @ b { t I k
AEROBATICS	e r @ b { t I k s
AEROBICALLY	{ r @} b I k l i:
AEROBIC	{ r @} b I k
AEROBICS	@ r @} b I k s
AERODROME	e: r @ d r @} m
AERODROMES	e: r @ d r @} m z
AERODYNAMICALLY	e r @ d Ae n { m I k l i:
AERODYNAMIC	e r @ d Ae n { m I k
AERODYNAMICIST	e r @ d Ae n { m I s @ s t
AERODYNAMICISTS	e r @ d Ae n { m I s I s t s
AERODYNAMICS	e r @ d 6: I n { m I k s
AERODYNE	{ r @ d 6: I n
AERODYNE'S	e: r @ d Ae n z
AEROFLOT	e r @ f l O t
AEROFLOT'S	e r @ f l O t s
AEROGENOSA	{ r @ dZ @ n @} s @
AEROJET	e r @ dZ e t
AEROJETS	e r @ dZ e t s
AEROLIFT	e r @ l I f t
AEROLIFTS	e r @ l I f t s
AEROLINEAS	e r @ l I n i: @ s
AEROMAR	{ r @ m 6:
AEROMAR	{ r @} m 6:
AEROMEXICO	e r @ m e k s I k @}
AEROMEXICO'S	e r @ m e k s I k @} z
AERONAUTICAL	e r @ n o: t I k l
AERONAUTICAS	e r @ n O t I k @ s
AERONAUTIC	e r @ n o: t I k
AERONAUTICS	e r @ n O t I k s
AEROPERU	e r @ p {I r }:
AEROPERU'S	e r @ p {I r }: z
AEROPLANE	e r @ p l {I n
AEROPLANE	e: r @ p l {I n
AEROQUIP	{ r @ k w I p
AERO	{ r @}
AEROSCIENCE	e r @ s 6: I@ s
AEROSMITH	e r @ s m I T
AEROSMITH'S	e r @ s m I T s
AEROSOL	e: r @ s O l
AEROSOLS	e: r @ s O l z
AEROSPACE	e r @ s p {I s
AEROSPACE'S	e r @ s p {I s @ z
AEROSPATIALE	e r @ s p O s i: O l
AEROSPATIALE'S	e r @ s p O s i: O l z
AEROSTAR	e r @ s t 6:
AEROSTAR'S	e r @ s t 6: z
AEROSTARS	e r @ s t 6: z
AEROSTAT	e r @ s t { t
AEROSTAT'S	e r @ s t { t s
AEROSTATS	e r @ s t { t s
AEROTECH	e r @ t e k
AEROVIAS	{ r @} v i: @ z
AERTS	3: t s
AESCHELUS	e s k @ l @ s
AESCHLIMAN	e S @ l i: m @ n
AESOP	I s { p
AESOP'S	i: s O p s
AESTHENOPIA	{ s T @ n O p j @
AESTHETE	e s T i: t
AESTHETE'S	e s T i: t s
AESTHETES	e s T i: t s
AESTHETICALLY	e s T e t I k l i:
AESTHETIC	e s T e t I k
AESTHETICS	e s T e t I k s
AETNA	e t n @
AETNA'S	e t n @ z
AF-	6: f
AFANASYEV	{ f @ n {I s i: e v
AFAR	@ f 6:
AFFABLE	{ f @ b @ l
AFFABLY	{ f @ b l i:
AFFAIR	@ f e:
AFFAIR'S	@ f e z
AFFAIRS	@ f e z
AFFECTATION	{ f e k t {I S @ n
AFFECTED	@ f e k t @ d
AFFECT	@ f e k t
AFFECTING	@ f e k t I N
AFFECTIONATE	@ f e k S n @ t
AFFECTIONATELY	@ f e k S @ n @ t l i:
AFFECTION	@ f e k S @ n
AFFECTIONS	@ f e k S n z
